ema_period,lookback_bars,min_close_ratio,left_bars,right_bars,rr_target,total_periods,positive_periods,positive_ratio,total_return_sum,total_trades_sum,avg_quarter_return,median_quarter_return,min_quarter_return,max_quarter_drawdown_worst,avg_profit_factor,median_profit_factor,min_profit_factor,min_trades_per_period,avg_trades_per_period,long_trades_total,short_trades_total,plateau_score
50,20,0.75,4,4,2.2,8,8,1.0,28.52319199999993,258,3.5653989999999913,3.445689000000063,1.0661279999999662,-1.5366074632000621,2.2360606849366773,2.2085267231030272,1.339658852689861,26,32.25,141,117,0.5646683210384278
55,20,0.75,3,3,2.2,8,8,1.0,31.348374000000252,306,3.9185467500000315,4.341233000000033,1.0522939999999759,-1.8166093808834975,2.1099681853963426,2.1617207839535997,1.2658482915429752,29,38.25,154,152,0.5646056965271196
55,20,0.85,4,3,2.0,8,8,1.0,23.671500000000243,206,2.9589375000000304,2.904450000000025,2.186590000000055,-1.6550854363127743,2.5730159969770323,2.450441251157635,1.7474013788671956,17,25.75,100,106,0.5640395528219765
60,24,0.8,3,3,2.2,8,8,1.0,26.895046000000434,224,3.3618807500000543,3.4592780000000656,1.6956460000000284,-2.0410603618322996,2.469516729655404,2.190493497733618,1.617686723194727,17,28.0,110,114,0.5638344261013994
50,20,0.75,4,4,2.0,8,8,1.0,27.545619999999957,258,3.4432024999999946,3.1962800000000624,0.9724200000000183,-1.540873821548991,2.264659163619763,2.1699339906298754,1.370022831050239,26,32.25,141,117,0.5636255773152525
50,28,0.8,3,3,2.0,8,8,1.0,26.425420000000077,238,3.3031775000000096,2.685355000000056,0.9731399999999946,-1.6171876233412315,2.4269017312607843,2.263357112136128,1.399263131118334,19,29.75,121,117,0.5633249986910668
55,24,0.8,4,4,2.0,8,8,1.0,23.70529000000008,190,2.96316125000001,2.7417799999999826,0.3019600000000011,-0.9967253554769835,2.9508954914840393,2.730825650091644,1.1476721439749689,17,23.75,110,80,0.5623628710558161
50,24,0.8,3,3,2.0,8,8,1.0,25.408930000000105,215,3.176116250000013,3.111175000000066,1.1579500000000076,-1.3688015135385272,2.6055878392005694,2.5592547806604866,1.4647844358726165,17,26.875,108,107,0.5623102493272408
50,20,0.8,3,3,2.0,8,8,1.0,26.4267600000001,245,3.3033450000000126,3.2654000000000627,0.9336499999999859,-1.971461077482917,2.3851726416674266,2.199804765662088,1.3438009772910406,21,30.625,119,126,0.5622537157875988
50,28,0.8,3,3,2.4,8,8,1.0,26.71465000000002,238,3.3393312500000025,3.663123000000068,1.344679999999987,-1.6887051388652181,2.274165258994496,2.4285068622894244,1.5317715171551824,19,29.75,121,117,0.5617155354416061
60,28,0.75,3,4,2.4,8,8,1.0,30.58418200000004,271,3.823022750000005,3.751159000000004,0.08575200000005001,-2.053684874948972,2.3237421387325714,2.161959219765635,1.026513802315241,28,33.875,143,128,0.5616699171544934
50,20,0.8,3,3,2.4,8,8,1.0,27.129396000000217,244,3.391174500000027,3.6833090000000457,1.3529580000000374,-1.8502317091278617,2.2316635389919006,2.2548769192762412,1.4203951538419681,21,30.5,118,126,0.5608830595576353
55,24,0.85,4,3,2.0,8,8,1.0,21.666160000000147,180,2.7082700000000184,2.5612250000000003,2.20623000000002,-1.9033452556238253,2.661012024675066,2.3376218813437877,2.022785526153001,15,22.5,87,93,0.5606933960017547
55,20,0.8,3,3,2.0,8,8,1.0,25.08016000000024,255,3.13502000000003,3.04722500000002,1.8241199999999624,-1.971461077482917,2.187752358615504,2.0717737257222955,1.660966630219651,21,31.875,129,126,0.5600195777521475
