rank,trial_id,score,k_period,d_period,smooth,oversold,overbought,left_bars,right_bars,min_separation,max_separation,ema_period,min_close_ratio,rr_target,total_trades,profit_factor,win_rate,expectancy_R,max_drawdown_pct,total_return,quarterly_positive_ratio,val_total_return,val_profit_factor,nocost_total_return,q_2024-Q1_return,q_2024-Q1_trades,q_2024-Q1_pf,q_2024-Q2_return,q_2024-Q2_trades,q_2024-Q2_pf,q_2024-Q3_return,q_2024-Q3_trades,q_2024-Q3_pf,q_2024-Q4_return,q_2024-Q4_trades,q_2024-Q4_pf,q_2025-Q1_return,q_2025-Q1_trades,q_2025-Q1_pf,q_2025-Q2_return,q_2025-Q2_trades,q_2025-Q2_pf
33,418,0.6915013845123662,20,5,3,13,76,6,5,13,28,74,0.7013962218938762,3.3854748113987085,84,2.509483243417634,0.4880952380952381,0.941563014420559,-2.740280330780514,16.233646972340352,1.0,0.35846678477091665,1.2137216560169095,17.913646972340345,2.13877269220597,12,3.5772071771894947,3.537860669519377,14,3.657181333623076,0.850407974484102,16,1.519409274221274,1.5493549207680868,13,1.5020606752084118,2.85890486763114,13,2.729491942600114,4.338675122534319,16,3.7592836332862647
34,341,0.6914251743826377,21,5,2,16,84,6,5,15,44,88,0.6599026856935044,3.168021037817517,132,2.568621304734827,0.5,0.9157084372537059,-1.9530703383692263,27.53923327095511,1.0,0.56033440838692,1.203119801201654,30.17923327095511,3.8416783049764147,16,3.830612003460452,3.1244994685469374,27,1.8477872536017785,4.678827478460423,22,3.613233679229677,2.016595397924048,26,1.4107165629201022,10.615277476939799,26,5.0,0.8243570671949474,15,1.3991099225112558
35,306,0.6909708859234113,17,5,3,16,82,6,5,15,32,67,0.6099497116363266,3.0796874117898283,129,2.7360958629191776,0.5038759689922481,0.8845227407244654,-1.8651215733145252,26.730720084242463,1.0,0.7800267853234288,1.4683889087654254,29.31072008424247,3.6843083043908154,14,5.0,3.7204281907727843,29,2.115461535176961,1.6783001317150381,23,1.626840474269903,3.729415779795753,22,1.9740606185589187,9.180121890408287,24,5.0,2.3365526416012194,17,2.434751796749602
36,430,0.6893146242468587,21,5,3,14,76,5,5,14,34,74,0.5917121398970822,3.073240707156406,118,2.621388883837746,0.5084745762711864,0.8944200083091645,-1.6801370729629999,24.167660649710008,1.0,-0.36437063327207087,0.8334343748613413,26.527660649709993,3.5026285271386737,18,3.359673482446219,3.016632169675937,22,2.057243430472917,0.8762608759752988,20,1.4173385370965028,2.5063144639356105,20,1.6350540415988324,7.599381407252226,22,4.615419493171599,4.664740805751166,16,4.320226839403184
37,472,0.688667187417828,21,5,3,17,82,5,4,15,31,89,0.5867564624094384,2.88205062532179,110,2.5077052401913784,0.5363636363636364,0.9094715000293517,-1.59325410009107,20.335973510858473,1.0,0.04604562075529728,1.0181031093741377,22.535973510858476,3.5794133090516933,13,5.0,3.2907224476093955,19,3.079831469126401,2.8761188622028033,19,2.6833518629903264,1.4584251011224847,19,1.411794448648373,5.750239847409544,25,2.705825362587806,1.9005820494018888,15,2.133131087928148
38,401,0.6881418655584243,19,5,3,18,75,6,5,15,31,85,0.684836182828954,3.2682921784560275,106,2.7242799597875837,0.4811320754716981,0.8794381586998266,-1.9839300068171375,23.13880249237348,1.0,0.5266113320059329,1.2983802663073944,25.258802492373466,2.771331870304139,12,4.779724595005762,3.38009416193219,23,2.2716226127800807,2.9715304945473475,19,2.6567862126247084,1.9914198835855768,21,1.5038161619589725,8.209224005004456,16,5.0,1.986087034666184,15,2.1264589533772926
39,131,0.686711017621638,9,5,3,11,82,6,5,12,26,77,0.5861788283559303,2.0894482232445677,96,2.8246744834764788,0.65625,0.8432977210615213,-1.2520038117737171,16.071203694860593,1.0,1.720916288520069,2.8605506119466666,17.9912036948606,3.432405105131031,16,5.0,2.8786569445133026,13,4.513480733073738,1.2401025938888255,14,2.280187380741506,2.3490450081406156,21,1.762246763621597,2.9379395193526614,19,2.5887463138012197,2.265874543128832,13,3.448870776466837
40,180,0.6859909336220019,21,5,2,18,81,6,5,14,31,79,0.5160689210714039,3.194135743064554,164,2.652526762287442,0.4878048780487805,0.8855724699850808,-2.0511909146490743,36.98116930145516,1.0,1.0701864430894936,1.3027110385675735,40.26116930145518,3.011731558427422,22,2.045700184516372,7.168159638730076,28,3.7121898538600595,1.0030573986092195,24,1.3364250648433305,5.498316028165262,36,1.949531624798825,10.965233047188839,31,4.687635193797395,4.940089831925443,23,2.826788170271443
41,435,0.6856350404699265,21,4,3,20,80,6,5,15,30,75,0.5906174229610678,3.1688864304985542,125,2.706986679584792,0.488,0.8731434236291156,-1.9428867663412928,28.42465683911195,1.0,0.23935507778152232,1.0947805769401284,30.924656839111965,3.6666383628063626,11,5.0,5.234278640219747,28,2.6883907079273683,2.141406179436145,20,1.8895339696839,2.397140323349145,25,1.5338768213544356,9.579136031589709,23,5.0,2.715181340379069,18,2.320929057346201
42,385,0.684661060837236,14,5,3,22,82,6,5,15,33,73,0.6410106602111626,3.4905930970998216,145,2.520932399202646,0.46206896551724136,0.902583061816911,-2.0267462779949197,29.380018457961434,1.0,1.1900761391890669,1.4820854489139836,32.280018457961425,3.2051499088931568,20,2.8297576662936113,3.9018564921563748,34,1.8428073876323954,2.32065817493301,22,1.9151887474544118,5.089562701924555,28,2.0331570520043485,7.837502905259908,23,4.489642001957335,4.051848417621984,18,3.4296606202009023
43,165,0.6843636117528649,20,5,3,17,77,6,5,15,28,88,0.5131345648630982,2.8540835166685667,131,2.7775727625455313,0.5267175572519084,0.8574522117502611,-1.9584483165816644,27.801166903301635,1.0,2.1836408686532804,2.4078287044770845,30.421166903301632,2.664062562536351,13,3.555578265179467,4.802530223329238,22,3.900414509543663,3.4873485283637207,19,3.369903073855688,4.197400777900895,30,1.879779188721527,7.546767731829518,26,4.132998220123131,2.4243219432211527,21,1.9431536065697141
44,496,0.6782869174920937,21,5,3,14,73,6,5,15,33,64,0.5328335086593408,2.934250898226114,143,2.519060408548943,0.5244755244755245,0.8783753011534547,-1.8631155468983178,26.089072605415552,1.0,0.3796863633537484,1.201517065267836,28.949072605415548,5.136107881235663,21,5.0,1.7197068002744897,24,1.5461196296776611,1.968524125543869,24,1.8699189304643198,3.9144526214639486,29,1.9034867134110856,8.409122961538351,27,4.111568461733559,2.6390294298671124,18,2.250953527110868
45,308,0.6770914834058915,18,5,3,17,83,6,5,15,34,69,0.5759134329152069,3.46234470500417,151,2.4534076302545764,0.46357615894039733,0.8922589894900471,-2.2094324923085664,29.209569167515227,1.0,1.0956902834904803,1.5047007943410007,32.2295691675152,2.022997788686065,18,2.1380180511833657,3.059428671887554,31,1.704867135987718,3.072288525466127,23,2.2577038344680798,4.074432399153083,29,1.829527976232511,12.257118886488438,30,5.0,2.049059326644831,20,1.9288673991410112
46,171,0.6770643355906963,20,4,3,18,78,6,5,15,30,84,0.549672630995551,2.571311931066415,139,2.7394387675459297,0.5611510791366906,0.8398159070148474,-1.9753958151757316,27.787812621748962,1.0,1.6896549249505677,1.8253089068287736,30.56781262174897,3.261459794834387,14,5.0,4.234795929127855,27,2.62372855961266,2.6868777356008344,23,2.3425454358076228,3.9764231598636623,28,1.8630484206190272,8.170948136053347,27,4.651374092274105,2.7964215387425773,20,2.2487784863956657
47,463,0.6758201945768315,18,5,3,16,77,6,5,15,32,83,0.6864775458559313,3.2095525791362634,112,2.569744148792986,0.48214285714285715,0.8579669301046683,-1.6761819823697108,22.90934842561243,1.0,0.9364508322999843,1.714106601009612,25.149348425612427,4.420716343093001,14,5.0,1.9410810109840693,22,1.665352750011259,2.563353140633362,23,2.0437038667738987,2.3901472949794833,17,1.7401583948158907,8.180705199608894,19,5.0,1.6362953562574667,17,1.7605548762799077
48,422,0.6753697235246009,20,4,3,14,76,6,5,15,32,77,0.6158760587482434,3.083684054919122,138,2.57068071260489,0.5,0.8616582284662134,-1.9436301075845954,26.4407762887622,1.0,0.34655154644112063,1.1514688088154026,29.200776288762185,4.335402419496726,19,5.0,3.648154100329437,28,2.101068364549487,2.892801821953972,23,2.3322682010694247,3.762042597594961,25,1.8980885091148194,8.476170597409771,24,4.997750566662736,0.9569065567538448,19,1.4172490792395358
49,426,0.6752252234323022,19,5,3,18,77,6,5,15,33,82,0.5885304570275833,3.1545426382506014,137,2.7225601293749917,0.48175182481751827,0.8359310361632656,-1.9470156475711733,29.534688691838973,1.0,-0.49506988568199795,0.8265675430430146,32.27468869183896,5.09963771876667,18,5.0,3.3281163152640847,27,1.9813369553585354,2.763113760104452,22,2.2296575350750283,2.5908285185535673,28,1.5374554128195632,9.517036818215342,25,4.79184019529297,3.309171238202291,17,3.2760519098299814
50,346,0.6747338096130437,21,5,3,22,81,6,5,15,46,60,0.5316688897394932,3.190241135587917,193,2.328631204257951,0.5025906735751295,0.9204508978532999,-2.9721699926406235,34.96541468039993,1.0,2.3791790090351483,1.9048682007960762,38.82541468039993,5.541342265187055,25,4.8422575527746226,5.357527320484445,36,2.1552807793117443,5.519439917359503,32,2.6793582142362284,1.7803680475532158,40,1.2738781245167021,8.230253734464243,31,3.293348492976374,4.4213106077168,29,2.29507152938252
