candidate_name,position_mode,risk_per_trade_pct,period,ending_equity,total_return,total_trades,win_rate,profit_factor,sharpe_ratio,max_drawdown_pct,avg_r,expectancy_r,avg_actual_risk_pct,max_actual_risk_pct,cap_hit_count,cap_hit_rate,total_fees,total_slippage_cost,cost_as_pct_of_gross_profit,long_trades,short_trades,long_pnl,short_pnl
robust_ema55,capped_5x,0.005,2024-Q2,100000.0,-0.2804480574000068,26,0.34615384615384615,0.7379530852790142,-1.0405003903601184,-0.7225571920349599,0.10769230769230502,0.10769230769230498,0.0005515663277827035,0.0011419821036282652,26,1.0,0.0,0.0,0.0,14,12,-288.71865879999797,8.270601400010392
robust_ema55,capped_5x,0.005,2024-Q3,100000.0,0.1836984836000477,25,0.48,1.2446323094633296,0.8177923354155077,-0.3337691987907457,0.5360000000000008,0.5360000000000007,0.0004699159917078994,0.0015050319634652295,25,1.0,0.0,0.0,0.0,17,8,25.49539100000561,158.20309259998788
robust_ema55,capped_5x,0.005,2024-Q4,100000.0,1.4841385217999825,22,0.6818181818181818,4.09521284920327,5.470131841827016,-0.1996270497316832,1.1818181818181768,1.1818181818181768,0.0006191786435035406,0.0016439609029448075,22,1.0,0.0,0.0,0.0,14,8,937.1492371999875,546.9892845999988
robust_ema55,capped_5x,0.005,2025-Q1,100000.0,-0.16572292279996015,26,0.38461538461538464,0.8653414028574609,-0.4772443140418564,-0.7595490381511969,0.23076923076922704,0.23076923076922706,0.0006591519437292681,0.00224193096107542,26,1.0,0.0,0.0,0.0,12,14,-337.824796599984,172.10187380000343
robust_ema55,capped_5x,0.005,2025-Q2,100000.0,1.1107390288000119,28,0.6071428571428571,2.715960190522987,4.583163857084777,-0.2150547820903812,0.9428571428571386,0.9428571428571383,0.0005142849538090593,0.0013979734136252196,28,1.0,0.0,0.0,0.0,16,12,642.6824867999819,468.05654200000663
robust_ema55,capped_5x,0.005,2025-Q3,100000.0,-0.25565440259998073,28,0.35714285714285715,0.6660055450538206,-1.4364958862589576,-0.3701395626178519,0.1428571428571586,0.14285714285715856,0.0003563734302407055,0.0009808672672524303,28,1.0,0.0,0.0,0.0,19,9,-81.1031315999973,-174.5512709999976
robust_ema55,capped_5x,0.005,2025-Q4,100000.0,0.5736648170000302,20,0.55,1.813644952393353,1.866674557472174,-0.4659784412087191,0.760000000000001,0.7600000000000011,0.0006412763320130426,0.0016901959817620413,20,1.0,0.0,0.0,0.0,13,7,668.9869816000023,-95.32216459999172
robust_ema55,capped_5x,0.005,2024-2025-Full,100000.0,3.2460335479999713,206,0.470873786407767,1.465873044503237,1.4182135696962477,-0.7941468003139239,0.5067961165048557,0.5067961165048558,0.0005557386937315122,0.002241920114364883,206,1.0,0.0,0.0,0.0,121,85,2278.4065451999913,967.627002800019
pivot_wide_9_35,capped_3x,0.005,2024-Q1,100000.0,0.11494552120003831,26,0.3076923076923077,1.2370670408650817,0.6888156552264836,-0.3577648679004809,-0.015384615384611213,-0.015384615384611222,0.0002916346372598435,0.0012777053464784558,26,1.0,0.0,0.0,0.0,12,14,307.3872047999978,-192.44168360000054
pivot_wide_9_35,capped_3x,0.005,2024-Q2,100000.0,-0.010636782399986444,23,0.391304347826087,0.962106069941273,-0.12224913676202741,-0.16377494644197532,0.2521739130434848,0.2521739130434846,0.00017551222346056666,0.00041106013203401,23,1.0,0.0,0.0,0.0,12,11,-57.38904779999734,46.752265400001974
pivot_wide_9_35,capped_3x,0.005,2024-Q3,100000.0,0.09726722359999496,18,0.5555555555555556,1.5431177782314212,1.4708410901263316,-0.09866234486497333,0.7777777777777756,0.7777777777777757,0.00016923147377214456,0.0005280558178186737,18,1.0,0.0,0.0,0.0,11,7,70.4849590000014,26.78226459999676
pivot_wide_9_35,capped_3x,0.005,2024-Q4,100000.0,0.4183257262000195,22,0.6363636363636364,3.228951727940097,4.328558130446556,-0.07438115280517901,1.0363636363636328,1.0363636363636326,0.0002100039223678727,0.0005917829095561788,22,1.0,0.0,0.0,0.0,14,8,301.61549899999613,116.71022720000144
pivot_wide_9_35,capped_3x,0.005,2025-Q1,100000.0,0.1085299579999699,26,0.5,1.2925195425191012,0.9889873482032212,-0.19189557868788545,0.5999999999999971,0.599999999999997,0.000226329469231734,0.000784679925711305,26,1.0,0.0,0.0,0.0,13,13,-90.5276687999957,199.05762679999742
pivot_wide_9_35,capped_3x,0.005,2025-Q2,100000.0,0.362243744800006,23,0.6086956521739131,3.369036996089527,5.045874915854659,-0.05790758998092104,0.947826086956523,0.9478260869565227,0.00016806744474024484,0.00041771202125162073,23,1.0,0.0,0.0,0.0,14,9,156.68583279999922,205.5579120000031
